0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:19 +0900] "GET /LibOutcomesWeb/img/pic_42.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:19 +0900] "GET /LibOutcomesWeb/img/pic_44.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:19 +0900] "GET /LibOutcomesWeb/img/pic_45.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:19 +0900] "GET /LibOutcomesWeb/img/pic_43.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/DataScienceReference HTTP/1.1" 200 105047
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/assets/css/liboutcomes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/assets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/assets/js/public/dataScienceManualFunction.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/assets/js/public/loginFunction.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_1.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_2.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_3.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_4.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_6.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_5.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_9.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_7.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_8.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_10.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_12.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_11.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_14.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_13.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_17.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:39 +0900] "GET /LibOutcomesWeb/img/pic_15.png HTTP/1.1" 200 12359
